"Date of Case",Reference,"Notification From","Country Origin",Product,"Product Category","Hazard Substance","Hazard Category"
"Oct 22, 2024","2024.7720",Italy,"Türkiye","Dried figs","Fruits and vegetables","Ochratoxin A - mycotoxins",Mycotoxins
"Oct 22, 2024","2024.7719",Italy,"Türkiye","Dried figs","Fruits and vegetables","Ochratoxin A - mycotoxins",Mycotoxins
"Oct 22, 2024","2024.7718",Italy,"Türkiye","Dried figs","Fruits and vegetables","Ochratoxin A - mycotoxins",Mycotoxins
"Oct 22, 2024","2024.7717",Italy,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins; Ochratoxin A - mycotoxins","Mycotoxins; Mycotoxins; Mycotoxins"
"Oct 21, 2024","2024.7715",Netherlands,"United States",Groundnuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 21, 2024","2024.7714",Netherlands,"United Kingdom","Horse carcass","Meat and meat products (other than poultry)",,
"Oct 21, 2024","2024.7713",Netherlands,"South Korea",Sauce,"Soups, broths, sauces and condiments",,
"Oct 21, 2024","2024.7711",Belgium,Belgium,"Green celery","Fruits and vegetables","Tebuconazole - pesticide residues","Pesticide residues"
"Oct 21, 2024","2024.7710",Poland,China,"Zestaw akcesoriów kuchennych // Kitchen utensils set","Food contact materials","Primary aromatic amines - migration - migration",Migration
"Oct 21, 2024","2024.7709",Romania,Romania,"Oua SC AVICOLA COMPANY XL SRL","Eggs and egg products","Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 21, 2024","2024.7708",Germany,Italy,"Chicken gyros","Poultry meat and poultry meat products","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 21, 2024","2024.7705",Cyprus,Greece,"Pink Grapefruit soft drink","Non-alcoholic beverages","E 200 - sorbic acid - too high content - food additives and flavourings","Food additives and flavourings"
"Oct 21, 2024","2024.7700",Italy,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 21, 2024","2024.7699",Greece,China,"Food contact materials","Food contact materials",,
"Oct 21, 2024","2024.7698",Greece,"United Kingdom","Non-alcoholic beverage","Non-alcoholic beverages",,
"Oct 21, 2024","2024.7695",Romania,Hungary,"Hrana completa pentru perusi // Complete food for parakeets","Compound feeds","Ambrosia - undeclared - allergens",Allergens
"Oct 21, 2024","2024.7694",Poland,Hungary,"Czekolada biała //// white chocolate",Confectionery,,
"Oct 21, 2024","2024.7693",Italy,"Türkiye","DRIED FIGS","Fruits and vegetables","Aflatoxin B1 - mycotoxins",Mycotoxins
"Oct 18, 2024","2024.7689",Belgium,"Czech Republic",Gummies,Confectionery,,
"Oct 18, 2024","2024.7688",Belgium,"Belgium; Spain","Almond paste","Nuts, nut products and seeds","Hazelnut - presence - allergens",Allergens
"Oct 18, 2024","2024.7687",Denmark,Poland,"Butter cookies with icing","Cereals and bakery products",,
"Oct 18, 2024","2024.7686",Romania,"Türkiye","Cherry tomatoes 500g //// Rosii cherry 500g","Fruits and vegetables","Indoxacarb - pesticide residues","Pesticide residues"
"Oct 18, 2024","2024.7685",Denmark,Denmark,"Kebab dressing","Other food product / mixed",,
"Oct 18, 2024","2024.7684",Croatia,Indonesia,"Ground cinnamon","Herbs and spices","Bacillus cereus - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 18, 2024","2024.7683",Belgium,Cyprus,Gummies,Confectionery,,
"Oct 18, 2024","2024.7682",France,France,Hams,"Meat and meat products (other than poultry)","Listeria monocytogenes - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 18, 2024","2024.7681",France,France,"Maize flour","Cereals and bakery products","Tropane alkaloids - natural toxins (other)","Natural toxins (other)"
"Oct 18, 2024","2024.7680",Belgium,Belgium,Salt,"Other food product / mixed",,
"Oct 18, 2024","2024.7678",Netherlands,Netherlands,"Semi-finished product (starch)","Cereals and bakery products",,
"Oct 18, 2024","2024.7677",Germany,India,"Bakery product","Cereals and bakery products","3-monochlor-1,2-propanediol (3-MCPD) - industrial contaminants; Glycidyl esters - industrial contaminants","Industrial contaminants; Industrial contaminants"
"Oct 18, 2024","2024.7676",Denmark,Spain,Muffins,"Cereals and bakery products",,
"Oct 18, 2024","2024.7675",Netherlands,Netherlands,Eggs,"Eggs and egg products",,
"Oct 18, 2024","2024.7670",Greece,"Türkiye","DRIED APRICOTS","Fruits and vegetables","E220- sulfur dioxide - too high content - food additives and flavourings","Food additives and flavourings"
"Oct 18, 2024","2024.7669",Finland,"United States","Hydration drink","Non-alcoholic beverages",,
"Oct 18, 2024","2024.7667",Italy,Italy,"Prosciutto crudo","Meat and meat products (other than poultry)","Listeria monocytogenes - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 18, 2024","2024.7664",Denmark,China,Cumin,"Herbs and spices","Pyrrolizidine alkaloids - natural toxins (other); Chlorpyrifos - unauthorised substance - pesticide residues","Natural toxins (other); Pesticide residues"
"Oct 18, 2024","2024.7659",Netherlands,Ireland,"Lamb cutlet","Meat and meat products (other than poultry)","Escherichia coli shigatoxin-producing - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 18, 2024","2024.7656",Belgium,Belgium,"Ready to heat meals","Prepared dishes and snacks",,
"Oct 18, 2024","2024.7654",France,Ireland,"Tourteaux - chilled vacuum-packed cooked crab (Cancer pagurus)","Fish and fish products","Cadmium - heavy metals","Heavy metals"
"Oct 18, 2024","2024.7653",Ireland,"United States","Tongkat Ali","Dietetic foods, food supplements and fortified foods",,
"Oct 18, 2024","2024.7651",France,Poland,"frozen chicken thighs","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms; Salmonella infantis - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms"
"Oct 18, 2024","2024.7647",Ireland,"United States","Tauro Test Male Hormone Dietary Supplement","Dietetic foods, food supplements and fortified foods",,
"Oct 18, 2024","2024.7646",Spain,"Czech Republic","Diversos productos de confiteria // Various confectionery products",Confectionery,,
"Oct 18, 2024","2024.7645",Austria,Netherlands,"Food supplement","Dietetic foods, food supplements and fortified foods","Novel food ingredient - unauthorised - novel food","Novel food"
"Oct 18, 2024","2024.7644",Belgium,France,"CBD products","Dietetic foods, food supplements and fortified foods",,
"Oct 18, 2024","2024.7643",Spain,Vietnam,"Bolsas de plástico / Plastic Bags","Food contact materials",,
"Oct 18, 2024","2024.7642",Spain,Spain,"Cabezas de cerdo / Pork heads","Meat and meat products (other than poultry)",,
"Oct 18, 2024","2024.7641",Germany,"Argentina; Germany","Beef carpaccio","Meat and meat products (other than poultry)","Escherichia coli shigatoxin-producing - suspicion - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 18, 2024","2024.7640",Belgium,Netherlands,"Petfood for dogs","Pet food","Salmonella Muenster - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 18, 2024","2024.7639",Netherlands,"Türkiye","Mulberries white organic","Fruits and vegetables","Ochratoxin A - mycotoxins",Mycotoxins
"Oct 18, 2024","2024.7638",Netherlands,India,"Psyllium Powder 95%","Dietetic foods, food supplements and fortified foods","Ethylene oxide - pesticide residues","Pesticide residues"
"Oct 18, 2024","2024.7637",Croatia,"Hong Kong",Knife,"Food contact materials","Corrosion - not determined (other)","Not determined (other)"
"Oct 18, 2024","2024.7636",France,France,"Tinned snails in court bouillon",Gastropods,,
"Oct 18, 2024","2024.7634",Germany,"Türkiye",Grapes,"Fruits and vegetables","Acetamiprid - pesticide residues","Pesticide residues"
"Oct 18, 2024","2024.7632",France,France,"Trout fillets","Fish and fish products","Salmonella - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 18, 2024","2024.7631",Italy,Bangladesh,"Spice mix for beef curry","Herbs and spices","Chlorpyriphos-ethyl - pesticide residues; Fipronil - unauthorised substance - pesticide residues; Carbaryl - pesticide residues; Tricyclazole - unauthorised substance - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues"
"Oct 18, 2024","2024.7630",Denmark,Hungary,"Food supplements","Dietetic foods, food supplements and fortified foods",,
"Oct 17, 2024","2024.7627",Latvia,India,Curry,"Herbs and spices",,
"Oct 17, 2024","2024.7625",Italy,Italy,"Budino Cremoso al Cacao e Dessert Riso Vaniglia","Prepared dishes and snacks",,
"Oct 17, 2024","2024.7624",Lithuania,Poland,"Fresh boneless chicken drumsticks","Poultry meat and poultry meat products","Salmonella infantis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 17, 2024","2024.7622",Latvia,Russia,"Beet-pulp with added molasses","Feed materials",,
"Oct 17, 2024","2024.7621",Latvia,Russia,"Beet-pulp with added molasses","Feed materials",,
"Oct 17, 2024","2024.7620",Latvia,Russia,"Beet-pulp with added molasses","Feed materials",,
"Oct 17, 2024","2024.7619",Latvia,Russia,"Beet-pulp with added molasses","Feed materials",,
"Oct 17, 2024","2024.7614",Belgium,"United Kingdom","Pre-workout powder","Dietetic foods, food supplements and fortified foods",,
"Oct 17, 2024","2024.7613",Cyprus,"United Kingdom","Pisces miscellanea","Other food product / mixed",,
"Oct 17, 2024","2024.7612",Bulgaria,"Türkiye",Pomegranates,"Fruits and vegetables","Acetamiprid - pesticide residues; Pyriproxyfen - pesticide residues","Pesticide residues; Pesticide residues"
"Oct 17, 2024","2024.7611","Czech Republic",Germany,"Beast BURN","Dietetic foods, food supplements and fortified foods","Colour E 127 - erythrosine - unauthorised use - food additives and flavourings","Food additives and flavourings"
"Oct 17, 2024","2024.7610",Latvia,Azerbaijan,Shelled,"Nuts, nut products and seeds",,
"Oct 17, 2024","2024.7609",Italy,China,"Funghi porcini secchi speciali","Fruits and vegetables","Propoxur - unauthorised substance - pesticide residues; Tetramethrin - unauthorised - pesticide residues","Pesticide residues; Pesticide residues"
"Oct 17, 2024","2024.7608",Romania,"Türkiye","Struguri albi fara samburi /// White seedless grapes","Fruits and vegetables","Acetamiprid - pesticide residues; Pyriproxyfen - pesticide residues","Pesticide residues; Pesticide residues"
"Oct 17, 2024","2024.7607",Poland,Poland,"Fresh chicken eggs","Eggs and egg products","Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 17, 2024","2024.7606",Greece,Pakistan,"rice (long grain white Basmati)","Cereals and bakery products","Aflatoxin B1 - mycotoxins",Mycotoxins
"Oct 17, 2024","2024.7605",Greece,Nigeria,"SESAME SEEDS","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 16, 2024","2024.7604",Germany,Lithuania,"Organic sunflower seed cakes","Feed materials","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 16, 2024","2024.7603",Latvia,Belgium,"Baby biscuits with pear juice","Cereals and bakery products","Acrylamide - high level - industrial contaminants","Industrial contaminants"
"Oct 16, 2024","2024.7602",Netherlands,France,Cheese,"Milk and milk products",,
"Oct 16, 2024","2024.7601",Netherlands,India,"Psyllium fibers + inuline","Dietetic foods, food supplements and fortified foods","Ethylene oxide - pesticide residues","Pesticide residues"
"Oct 16, 2024","2024.7600",Belgium,Austria,Cherries,"Fruits and vegetables","Dimethoate - pesticide residues; Omethoate - pesticide residues","Pesticide residues; Pesticide residues"
"Oct 16, 2024","2024.7599",Austria,"Czech Republic","Precooked pasta","Cereals and bakery products","Bacillus cereus - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 16, 2024","2024.7597",Finland,Germany,"Jalapeno slices","Other food product / mixed",,
"Oct 16, 2024","2024.7596",Italy,Egypt,"SEMI DI CUMINO BIO","Herbs and spices","Pyrrolizidine alkaloids - natural toxins (other)","Natural toxins (other)"
"Oct 16, 2024","2024.7592",Latvia,Russia,"Beet-pulp with added molasses","Feed materials",,
"Oct 16, 2024","2024.7591",Latvia,Russia,"Beet-pulp with added molasses","Feed materials",,
"Oct 16, 2024","2024.7585",Netherlands,Bolivia,"Organic white quinoa","Cereals and bakery products","Chlorpyrifos - pesticide residues; Chlorpyrifos - pesticide residues","Pesticide residues; Pesticide residues"
"Oct 16, 2024","2024.7583",Netherlands,Netherlands,"Pear puree","Fruits and vegetables","Chlorate - environmental pollutants","Environmental pollutants"
"Oct 16, 2024","2024.7582",Germany,Netherlands,"Sweets with muscimol",Confectionery,,
"Oct 16, 2024","2024.7581",Estonia,Poland,"Turkey breast fillet","Poultry meat and poultry meat products","Salmonella typhimurium - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 16, 2024","2024.7579",Ireland,"South Korea",Beverage,"Non-alcoholic beverages",,
"Oct 16, 2024","2024.7578",Italy,"Türkiye","PISTACHIO KERNEL","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 16, 2024","2024.7577",Germany,Germany,Pasta,"Cereals and bakery products",,
"Oct 16, 2024","2024.7576",Italy,"Türkiye","Semi di cumino","Herbs and spices","Pyrrolizidine alkaloids - natural toxins (other)","Natural toxins (other)"
"Oct 16, 2024","2024.7483",Lithuania,Latvia,"Cold-smoked pieces of mackerel","Fish and fish products","Listeria monocytogenes - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 15, 2024","2024.7573",Germany,"Türkiye",Grapes,"Fruits and vegetables","Acetamiprid - pesticide residues; Pyriproxyfen - pesticide residues; Acetamiprid - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues"
"Oct 15, 2024","2024.7571",Italy,China,"Ginger powder//Zenzero in polvere","Herbs and spices","Benzo(a)pyrene - environmental pollutants; Polycyclic aromatic hydrocarbons sum of - environmental pollutants","Environmental pollutants; Environmental pollutants"
"Oct 15, 2024","2024.7570",Belgium,Netherlands,"Butterfly pea-bloom","Cocoa and cocoa preparations, coffee and tea",,
"Oct 15, 2024","2024.7569",France,Netherlands,"Dietary supplement","Dietetic foods, food supplements and fortified foods",,
"Oct 15, 2024","2024.7568",France,,Swordfish,"Fish and fish products","Mercury - heavy metals","Heavy metals"
"Oct 15, 2024","2024.7567",France,Brazil,Lime,"Fruits and vegetables","Chlorpyrifos - unauthorised substance - pesticide residues","Pesticide residues"
"Oct 15, 2024","2024.7566",Sweden,"Latvia; Sweden","Surimi chunks","Fish and fish products","Listeria monocytogenes - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 15, 2024","2024.7565",Slovenia,Vietnam,"Clarias gariepinus","Fish and fish products","Leucocrystal violet - unauthorised substance - residues of veterinary medicinal products","Residues of veterinary medicinal products"
"Oct 15, 2024","2024.7563",France,Poland,"Chicken thigh portions","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 15, 2024","2024.7561",Portugal,Brazil,"Mandarins (including tangerines and satsumas); clementines, wilkings and other similar citrus hybrids","Fruits and vegetables",,
"Oct 15, 2024","2024.7557",Italy,Iran,Shelled,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxins - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 15, 2024","2024.7555",Italy,Italy,"Grana Padano DOP grattugiato","Milk and milk products",,
"Oct 15, 2024","2024.7553",Germany,Vietnam,Shrimps,"Crustaceans and products thereof","Doxycycline - residue level above MRL - residues of veterinary medicinal products; Sulfamethoxazole - unauthorised - residues of veterinary medicinal products; Tetracycline - residue level above MRL - residues of veterinary medicinal products","Residues of veterinary medicinal products; Residues of veterinary medicinal products; Residues of veterinary medicinal products"
"Oct 15, 2024","2024.7551",Malta,"United Kingdom","Whole Broad Beans (Faba Beans)","Fruits and vegetables","Fosetyl - pesticide residues","Pesticide residues"
